Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
,910,5.6,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,1380,7.1,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,1870,8.1,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,2360,9.8,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,2920,11.2,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,3390,12.2,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,3920,12.6,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,4430,13.3,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,4920,15,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,5390,15.4,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
,5930,15.8,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
CG-121,390,3.2,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,900,5.9,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,1380,7.3,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,1890,9.5,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,2370,10.8,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,2920,12.3,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,3390,13.3,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,3930,13.7,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,4440,14.2,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,4930,15.2,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,5400,15.7,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
,5940,16.1,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,18.59436441,5.929777537,1.606525027,0.996563148,11880
